lemma	krr_pred	lemma_orth	xpostag	llfpm10	lemma_freq	coda	c1	c2	lemma_syl_count	class	form_v	form_v_orth	suffix_v	freq_v	lfpm10v	suffix_nv	form_nv	form_nv_orth	freq_nv	lfpm10nv	odds_v	lo_v	varies	tag	tag_freq_in_dataset	category	form	alpha	sigma
bong	0.7987846074214878	bong	[/V][Prs.NDef.3Pl]	0.4401111026207692	2361	ng	n	g	1	cc	bonganak	bonganak	anak	28	-1.4858268531157386	nak	bongnak	bongnak	43	-1.2995164288783714	0.6511627906976745	-0.4289956055183584	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	bongnak	10	10
bont	0.8216585521739059	bont	[/V][Prs.NDef.3Pl]	2.508831177112865	276577	nt	n	t	1	cc	bontanak	bontanak	anak	4306	0.7010891410295106	nak	bontnak	bontnak	3	-2.455863629738295	1435.3333333333333	7.269152389256199	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	bontnak	10	10
bont	0.8216585521739059	bont	[/V][Prs.NDef.2Sg]	2.508831177112865	276577	nt	n	t	1	cc	bontas	bontasz	as	453	-0.27688668244512593	s	bonts	bontsz	3	-2.455863629738295	151	5.017279836814924	TRUE	Prs.NDef.2Sg (mondas)	4096	test	bonts	10	10
borong	0.8109156025613009	borong	[/V][Prs.NDef.3Pl]	0.4584795273811454	2463	ng	n	g	2	cc	boronganak	boronganak	anak	65	-1.1200715278151023	nak	borongnak	borongnak	36	-1.3766823836906703	1.8055555555555556	0.5908683314395271	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	borongnak	10	10
borong	0.8109156025613009	borong	[/V][Prs.NDef.2Sg]	0.4584795273811454	2463	ng	n	g	2	cc	borongas	borongasz	as	7	-2.087886844443701	s	borongs	borongsz	22	-1.5905622036357516	0.3181818181818182	-1.1451323043030026	TRUE	Prs.NDef.2Sg (mondas)	4096	test	borongs	10	10
borzong	0.8158049655960353	borzong	[/V][Prs.NDef.3Pl]	1.0175746771538423	8924	ng	n	g	2	cc	borzonganak	borzonganak	anak	185	-0.6658131560549441	nak	borzongnak	borzongnak	24	-1.552773642746352	7.708333333333333	2.042301994730379	TRUE	Prs.NDef.3Pl (mondanak)	4938	test	borzongnak	10	10
borzong	0.8158049655960353	borzong	[/V][Prs.NDef.2Sg]	1.0175746771538423	8924	ng	n	g	2	cc	borzongas	borzongasz	as	5	-2.234014880121939	s	borzongs	borzongsz	85	-1.0035659587436652	0.0588235294117647	-2.833213344056216	TRUE	Prs.NDef.2Sg (mondas)	4096	test	borzongs	10	10
borít	0.8199987225741833	borít	[/V][Prs.NDef.3Pl]	2.326496703561112	181753	t	t	NA	2	vc	borítanak	borítanak	anak	2825	0.5180335676974994	nak	borítnak	borítnak	11	-1.8915921992997329	256.8181818181818	5.548368370782171	TRUE	Prs.NDef.3Pl (mondanak)	4938	NA	NA	10	10
borít	0.8199987225741833	borít	[/V][Prs.NDef.2Sg]	2.326496703561112	181753	t	t	NA	2	vc	borítas	borítasz	as	211	-0.6087024291602652	s	boríts	borítsz	3	-2.455863629738295	70.33333333333333	4.253245844807957	TRUE	Prs.NDef.2Sg (mondas)	4096	NA	NA	10	10
borít	0.8199987225741833	borít	[/V][Prs.1Sg›2]	2.326496703561112	181753	t	t	NA	2	vc	borítalak	borítalak	alak	55	-1.192622194963714	lak	borítlak	borítlak	2	-2.6319548887939765	27.5	3.3141860046725258	TRUE	Prs.1Sg›2 (mondalak)	1749	NA	NA	10	10
