lemma	lemma_orth	xpostag	llfpm10	lemma_freq	coda	c1	c2	lemma_syl_count	class	form_v	form_v_orth	suffix_v	freq_v	lfpm10v	suffix_nv	form_nv	form_nv_orth	freq_nv	lfpm10nv	odds_v	lo_v	varies	tag	tag_freq_in_dataset	category	form
fost	foszt	[/V][Prs.1Sg›2]	1.6726648740591443	40332	st	s	t	1	cc	fostalak	fosztalak	alak	47	-1.2608870265222405	lak	fostlak	fosztlak	1	-2.932984884457958	47	3.8501476017100584	TRUE	Prs.1Sg›2 (mondalak)	1583	test	fostlak
sorong	szorong	[/V][Prs.NDef.2Pl]	1.6523630266366331	38490	ng	n	g	2	cc	sorongotok	szorongotok	otok	2	-2.6319548887939765	tok	sorongtok	szorongtok	46	-1.2702270527763837	0.04347826086956521	-3.1354942159291497	TRUE	Prs.NDef.2Pl (mondotok)	3155	test	sorongtok
lézeng	lézeng	[/V][Prs.NDef.2Sg]	1.031557581621179	9216	ng	n	g	2	cc	lézenges	lézengesz	es	4	-2.3309248931299953	s	lézengs	lézengsz	45	-1.279772370682614	0.08888888888888889	-2.4203681286504293	TRUE	Prs.NDef.2Sg (mondas)	3816	test	lézengs
old	old	[/V][Prs.1Sg›2]	2.8249058973828483	572652	ld	l	d	1	cc	oldalak	oldalak	alak	29	-1.4705868865590015	lak	oldlak	oldlak	45	-1.279772370682614	0.6444444444444445	-0.4393666597838457	TRUE	Prs.1Sg›2 (mondalak)	1583	test	oldlak
tapast	tapaszt	[/V][Prs.1Sg›2]	1.133564654303976	11656	st	s	t	2	cc	tapastalak	tapasztalak	alak	44	-1.2895322079717704	lak	tapastlak	tapasztlak	1	-2.932984884457958	44	3.784189633918261	TRUE	Prs.1Sg›2 (mondalak)	1583	test	tapastlak
óhajt	óhajt	[/V][Prs.1Sg›2]	1.6797460062903842	40995	jt	j	t	2	cc	óhajtalak	óhajtalak	alak	33	-1.4144709445800705	lak	óhajtlak	óhajtlak	44	-1.2895322079717704	0.75	-0.2876820724517809	TRUE	Prs.1Sg›2 (mondalak)	1583	test	óhajtlak
bong	bong	[/V][Prs.NDef.3Pl]	0.4401111026207692	2361	ng	n	g	1	cc	bonganak	bonganak	anak	28	-1.4858268531157386	nak	bongnak	bongnak	43	-1.2995164288783714	0.6511627906976745	-0.4289956055183584	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	bongnak
bossant	bosszant	[/V][Prs.1Sg›2]	1.6866614018736934	41653	nt	n	t	2	cc	bossantalak	bosszantalak	alak	43	-1.2995164288783714	lak	bossantlak	bosszantlak	7	-2.087886844443701	6.142857142857143	1.8152899666382492	TRUE	Prs.1Sg›2 (mondalak)	1583	test	bossantlak
šikong	sikong	[/V][Prs.NDef.3Pl]	0.00503421301825244	867	ng	n	g	2	cc	šikonganak	sikonganak	anak	42	-1.3097355940600577	nak	šikongnak	sikongnak	22	-1.5905622036357516	1.9090909090909092	0.6466271649250525	TRUE	Prs.NDef.3Pl (mondanak)	4830	test	šikongnak
fojt	fojt	[/V][Prs.1Sg›2]	1.5716626503360749	31963	jt	j	t	1	cc	fojtalak	fojtalak	alak	41	-1.3202010277382223	lak	fojtlak	fojtlak	6	-2.1548336340743144	6.833333333333333	1.9218125974762528	TRUE	Prs.1Sg›2 (mondalak)	1583	test	fojtlak
