lemma	lemma_orth	xpostag	llfpm10	lemma_freq	coda	c1	c2	lemma_syl_count	form_v	form_v_orth	suffix_v	freq_v	lfpm10v	suffix_nv	form_nv	form_nv_orth	freq_nv	lfpm10nv	odds_v	lo_v	varies	tag	tag_freq_in_dataset	suffix_init	trigram	bigram1	bigram2	type
eḏetért	egyetért	[/V][Prs.NDef.2Pl]	2.6806793792943684	410832	rt	r	t	3	eḏetértetek	egyetértetek	etek	1615	0.27518764220916386	tek	eḏetérttek	egyetérttek	42	-1.3097355940600577	38.45238095238095	3.6494206173733885	TRUE	2Pl (rajongotok)	268	t	rtt	rt	tt	linking vowel varies
pillant	pillant	[/V][Prs.NDef.2Sg]	2.0275762625908595	91319	nt	n	t	2	pillantas	pillantasz	as	1613	0.27464948293100366	s	pillants	pillantsz	22	-1.5905622036357516	73.31818181818181	4.294808624766893	TRUE	2Sg (rajongasz)	438	s	nts	nt	ts	linking vowel varies
felejt	felejt	[/V][Prs.NDef.2Sg]	2.6921814049054085	421858	jt	j	t	2	felejtes	felejtesz	es	1564	0.2612518642658714	s	felejts	felejtsz	36	-1.3766823836906703	43.44444444444444	3.7714829826491463	TRUE	2Sg (rajongasz)	438	s	jts	jt	ts	linking vowel varies
jelent	jelent	[/V][Prs.NDef.2Sg]	3.848512349249592	6046405	nt	n	t	2	jelentes	jelentesz	es	1524	0.25000008254562384	s	jelents	jelentsz	15	-1.756893625402277	101.6	4.6210435351443815	TRUE	2Sg (rajongasz)	438	s	nts	nt	ts	linking vowel varies
illest	illeszt	[/V][Prs.NDef.3Pl]	2.06868393886985	100385	st	s	t	2	illestenek	illesztenek	enek	1488	0.23961804675190207	NA	NA	NA	NA	NA	NA	NA	FALSE	3Pl (rajonganak)	440	NA	NA	st	NA	linking vowel always
lézeng	lézeng	[/V][Prs.NDef.3Pl]	1.031557581621179	9216	ng	n	g	2	lézengenek	lézengenek	enek	1404	0.21438222333582865	nek	lézengnek	lézengnek	73	-1.069662024337502	19.232876712328768	2.9566211434373653	TRUE	3Pl (rajonganak)	440	n	ngn	ng	gn	linking vowel varies
kelt	kelt	[/V][Prs.NDef.2Pl]	2.7981185534768014	538398	lt	l	t	1	keltetek	keltetek	etek	1379	0.20657938171789195	tek	kelttek	kelttek	1	-2.932984884457958	1379	7.229113877793302	TRUE	2Pl (rajongotok)	268	t	ltt	lt	tt	linking vowel varies
lappang	lappang	[/V][Prs.NDef.3Pl]	1.2723819034085184	16046	ng	n	g	2	lappanganak	lappanganak	anak	1369	0.20341856367603217	nak	lappangnak	lappangnak	187	-0.6611432779214589	7.320855614973262	1.9907272084338623	TRUE	3Pl (rajonganak)	440	n	ngn	ng	gn	linking vowel varies
zeng	zeng	[/V][Prs.NDef.2Pl]	1.7743979085034178	50978	ng	n	g	1	zengetek	zengetek	etek	12	-1.853803638410333	tek	zengtek	zengtek	1349	0.1970270652139464	0.008895478131949592	-4.722212206419756	TRUE	2Pl (rajongotok)	268	t	ngt	ng	gt	linking vowel varies
pillant	pillant	[/V][Prs.NDef.3Pl]	2.0275762625908595	91319	nt	n	t	2	pillantanak	pillantanak	anak	1347	0.19638271126502777	nak	pillantnak	pillantnak	1	-2.932984884457958	1347	7.205635176410364	TRUE	3Pl (rajonganak)	440	n	ntn	nt	tn	linking vowel varies
lejt	lejt	[/V][Prs.NDef.3Pl]	1.1958342577365526	13453	jt	j	t	1	lejtenek	lejtenek	enek	1333	0.1918452649559014	nek	lejtnek	lejtnek	11	-1.8915921992997329	121.18181818181819	4.797292047380338	TRUE	3Pl (rajonganak)	440	n	jtn	jt	tn	linking vowel varies
önt	önt	[/V][Prs.NDef.2Sg]	2.628092636201345	363980	nt	n	t	1	öntes	öntesz	es	1320	0.187589046747892	s	önts	öntsz	8	-2.0298948974660145	165	5.10594547390058	TRUE	2Sg (rajongasz)	438	s	nts	nt	ts	linking vowel varies
félreért	félreért	[/V][Prs.NDef.2Sg]	1.6781859130022172	40848	rt	r	t	3	félreértes	félreértesz	es	1313	0.18527984163152153	s	félreérts	félreértsz	7	-2.087886844443701	187.57142857142858	5.2341597252474825	TRUE	2Sg (rajongasz)	438	s	rts	rt	ts	linking vowel varies
bossant	bosszant	[/V][Prs.NDef.3Pl]	1.6866614018736934	41653	nt	n	t	2	bossantanak	bosszantanak	anak	1308	0.18362285953029064	NA	NA	NA	NA	NA	NA	NA	FALSE	3Pl (rajonganak)	440	NA	NA	nt	NA	linking vowel always
kong	kong	[/V][Prs.NDef.3Pl]	1.684612987091838	41457	ng	n	g	1	konganak	konganak	anak	1304	0.18229270693794355	nak	kongnak	kongnak	305	-0.448685045111172	4.275409836065574	1.4528799658791867	TRUE	3Pl (rajonganak)	440	n	ngn	ng	gn	linking vowel varies
lézeng	lézeng	[/V][Prs.NDef.2Pl]	1.031557581621179	9216	ng	n	g	2	lézengetek	lézengetek	etek	2	-2.6319548887939765	tek	lézengtek	lézengtek	1292	0.17827762920110743	0.0015479876160990713	-6.470799503782602	TRUE	2Pl (rajongotok)	268	t	ngt	ng	gt	linking vowel varies
megšért	megsért	[/V][Prs.NDef.3Pl]	2.1871545349738746	131868	rt	r	t	2	megšértenek	megsértenek	enek	1280	0.17422508518991056	nek	megšértnek	megsértnek	1	-2.932984884457958	1280	7.154615356913663	TRUE	3Pl (rajonganak)	440	n	rtn	rt	tn	linking vowel varies
töpreng	töpreng	[/V][Prs.NDef.3Pl]	1.6971377584013545	42670	ng	n	g	2	töprengenek	töprengenek	enek	1241	0.16078689704077198	nek	töprengnek	töprengnek	32	-1.427834906138052	38.78125	3.6579368824048806	TRUE	3Pl (rajonganak)	440	n	ngn	ng	gn	linking vowel varies
irt	irt	[/V][Prs.NDef.3Pl]	2.0216145648335377	90074	rt	r	t	1	irtanak	irtanak	anak	1233	0.1579781921377738	NA	NA	NA	NA	NA	NA	NA	FALSE	3Pl (rajonganak)	440	NA	NA	rt	NA	linking vowel always
ránt	ránt	[/V][Prs.NDef.3Pl]	2.1327815031647908	116350	nt	n	t	1	rántanak	rántanak	anak	1210	0.14980048585849226	NA	NA	NA	NA	NA	NA	NA	FALSE	3Pl (rajonganak)	440	NA	NA	nt	NA	linking vowel always
leng	leng	[/V][Prs.NDef.3Pl]	1.7526762559372897	48491	ng	n	g	1	lengenek	lengenek	enek	1199	0.1458342986408908	nek	lengnek	lengnek	279	-0.48738068118436023	4.297491039426523	1.4580313732061487	TRUE	3Pl (rajonganak)	440	n	ngn	ng	gn	linking vowel varies
sorong	szorong	[/V][Prs.NDef.2Sg]	1.6523630266366331	38490	ng	n	g	2	sorongas	szorongasz	as	45	-1.279772370682614	s	sorongs	szorongsz	1184	0.14036681792894318	0.03800675675675676	-3.2699913256736313	TRUE	2Sg (rajongasz)	438	s	ngs	ng	gs	linking vowel varies
ḏárt	gyárt	[/V][Prs.NDef.2Sg]	2.644984606286616	378416	rt	r	t	1	ḏártas	gyártasz	as	1183	0.1399998601699725	NA	NA	NA	NA	NA	NA	NA	FALSE	2Sg (rajongasz)	438	NA	NA	rt	NA	linking vowel always
félt	félt	[/V][Prs.NDef.3Pl]	2.065662355068752	99689	lt	l	t	1	féltenek	féltenek	enek	1177	0.13779157838547687	NA	NA	NA	NA	NA	NA	NA	FALSE	3Pl (rajonganak)	440	NA	NA	lt	NA	linking vowel always
ront	ront	[/V][Prs.NDef.2Sg]	2.498256616638663	269924	nt	n	t	1	rontas	rontasz	as	1174	0.13668321245363788	s	ronts	rontsz	9	-1.978742375018633	130.44444444444446	4.870947423051822	TRUE	2Sg (rajongasz)	438	s	nts	nt	ts	linking vowel varies
ṉomast	nyomaszt	[/V][Prs.NDef.3Pl]	1.3612608316801604	19690	st	s	t	2	ṉomastanak	nyomasztanak	anak	1171	0.13557201061440527	NA	NA	NA	NA	NA	NA	NA	FALSE	3Pl (rajonganak)	440	NA	NA	st	NA	linking vowel always
riast	riaszt	[/V][Prs.NDef.3Pl]	1.8228823519462607	56999	st	s	t	2	riastanak	riasztanak	anak	1161	0.13184733528061598	NA	NA	NA	NA	NA	NA	NA	FALSE	3Pl (rajonganak)	440	NA	NA	st	NA	linking vowel always
koṯvast	kotyvaszt	[/V][Prs.NDef.2Sg]	0.7508723209423885	4829	st	s	t	2	koṯvastas	kotyvasztasz	as	1157	0.13034847449379172	NA	NA	NA	NA	NA	NA	NA	FALSE	2Sg (rajongasz)	438	NA	NA	st	NA	linking vowel always
küld	küld	[/V][Prs.NDef.2Pl]	3.329046184230405	1828231	ld	l	d	1	küldötök	küldötök	ötök	145	-0.771616882222983	tök	küldtök	küldtök	1155	0.12959709977020528	0.12554112554112554	-2.0751218805353195	TRUE	2Pl (rajongotok)	268	t	ldt	ld	dt	linking vowel varies
tölt	tölt	[/V][Prs.NDef.2Pl]	3.4380290110614276	2349708	lt	l	t	1	töltötök	töltötök	ötök	1155	0.12959709977020528	NA	NA	NA	NA	NA	NA	NA	FALSE	2Pl (rajongotok)	268	NA	NA	lt	NA	linking vowel always
félreért	félreért	[/V][Prs.NDef.3Pl]	1.6781859130022172	40848	rt	r	t	3	félreértenek	félreértenek	enek	1143	0.12506134593732388	NA	NA	NA	NA	NA	NA	NA	FALSE	3Pl (rajonganak)	440	NA	NA	rt	NA	linking vowel always
válast	választ	[/V][Prs.1Sg›2]	3.596984538197973	3388203	st	s	t	2	válastalak	választalak	alak	1129	0.11970905746701004	lak	válastlak	választlak	5	-2.234014880121939	225.8	5.419649651715562	TRUE	1Sg›2 (rajongalak)	228	l	stl	st	tl	linking vowel varies
čüng	csüng	[/V][Prs.NDef.3Pl]	1.166350393228	12570	ng	n	g	1	čüngenek	csüngenek	enek	1121	0.11662072813701536	nek	čüngnek	csüngnek	773	-0.04480539053963291	1.4501940491591203	0.37169737448473794	TRUE	3Pl (rajonganak)	440	n	ngn	ng	gn	linking vowel varies
kattint	kattint	[/V][Prs.NDef.2Pl]	3.101250403862836	1082020	nt	n	t	2	kattintotok	kattintotok	otok	1080	0.10043887102899184	tok	kattinttok	kattinttok	3	-2.455863629738295	360	5.886104031450156	TRUE	2Pl (rajongotok)	268	t	ntt	nt	tt	linking vowel varies
bánt	bánt	[/V][Prs.NDef.2Sg]	2.302654646830123	172044	nt	n	t	1	bántas	bántasz	as	1065	0.09436472331679864	s	bánts	bántsz	21	-1.6107655897240385	50.714285714285715	3.9262076404201025	TRUE	2Sg (rajongasz)	438	s	nts	nt	ts	linking vowel varies
fost	foszt	[/V][Prs.NDef.3Pl]	1.6726648740591443	40332	st	s	t	1	fostanak	fosztanak	anak	1065	0.09436472331679864	nak	fostnak	fosztnak	2	-2.6319548887939765	532.5	6.277582897583581	TRUE	3Pl (rajonganak)	440	n	stn	st	tn	linking vowel varies
villant	villant	[/V][Prs.NDef.3Pl]	1.4953605237269272	26813	nt	n	t	2	villantanak	villantanak	anak	1047	0.08696179722088447	NA	NA	NA	NA	NA	NA	NA	FALSE	3Pl (rajonganak)	440	NA	NA	nt	NA	linking vowel always
koccint	koccint	[/V][Prs.NDef.3Pl]	1.2511384697817134	15280	nt	n	t	2	koccintanak	koccintanak	anak	1026	0.07816247631783964	NA	NA	NA	NA	NA	NA	NA	FALSE	3Pl (rajonganak)	440	NA	NA	nt	NA	linking vowel always
kiált	kiált	[/V][Prs.NDef.2Sg]	2.355172642073583	194159	lt	l	t	2	kiáltas	kiáltasz	as	1024	0.0773150721818541	s	kiálts	kiáltsz	12	-1.853803638410333	85.33333333333333	4.446565155811452	TRUE	2Sg (rajongasz)	438	s	lts	lt	ts	linking vowel varies
aggast	aggaszt	[/V][Prs.NDef.3Pl]	1.550502563221635	30443	st	s	t	2	aggastanak	aggasztanak	anak	1009	0.07090628177895267	NA	NA	NA	NA	NA	NA	NA	FALSE	3Pl (rajonganak)	440	NA	NA	st	NA	linking vowel always
sánt	szánt	[/V][Prs.NDef.3Pl]	2.6324130648880937	367619	nt	n	t	1	sántanak	szántanak	anak	999	0.06658060376802445	NA	NA	NA	NA	NA	NA	NA	FALSE	3Pl (rajonganak)	440	NA	NA	nt	NA	linking vowel always
terjeng	terjeng	[/V][Prs.NDef.2Pl]	1.144782605924099	11961	ng	n	g	2	terjengetek	terjengetek	etek	5	-2.234014880121939	tek	terjengtek	terjengtek	996	0.06527445396574089	0.0050200803212851405	-5.294309345150498	TRUE	2Pl (rajongotok)	268	t	ngt	ng	gt	linking vowel varies
ujjong	ujjong	[/V][Prs.NDef.3Pl]	1.3958430545563227	21322	ng	n	g	2	ujjonganak	ujjonganak	anak	950	0.04473872083088993	nak	ujjongnak	ujjongnak	118	-0.8611028771518324	8.05084745762712	2.085777360128922	TRUE	3Pl (rajonganak)	440	n	ngn	ng	gn	linking vowel varies
fetreng	fetreng	[/V][Prs.NDef.3Pl]	1.1845515482523803	13108	ng	n	g	2	fetrengenek	fetrengenek	enek	947	0.0433650945453156	nek	fetrengnek	fetrengnek	38	-1.3532012878411477	24.92105263157895	3.2157129334596926	TRUE	3Pl (rajonganak)	440	n	ngn	ng	gn	linking vowel varies
terjeng	terjeng	[/V][Prs.NDef.3Pl]	1.144782605924099	11961	ng	n	g	2	terjengenek	terjengenek	enek	945	0.04244692405130512	nek	terjengnek	terjengnek	330	-0.4144709445800704	2.8636363636363638	1.052092273033217	TRUE	3Pl (rajonganak)	440	n	ngn	ng	gn	linking vowel varies
tévest	téveszt	[/V][Prs.NDef.3Pl]	1.7844276275827178	52169	st	s	t	2	tévestenek	tévesztenek	enek	938	0.03921795392110661	NA	NA	NA	NA	NA	NA	NA	FALSE	3Pl (rajonganak)	440	NA	NA	st	NA	linking vowel always
fejlest	fejleszt	[/V][Prs.NDef.2Sg]	2.9435296996301	752514	st	s	t	2	fejlestes	fejlesztesz	es	904	0.02318354601740549	NA	NA	NA	NA	NA	NA	NA	FALSE	2Sg (rajongasz)	438	NA	NA	st	NA	linking vowel always
int	int	[/V][Prs.1Sg›2]	2.329181328593249	182880	nt	n	t	1	intelek	intelek	elek	896	0.0193231252041674	lek	intlek	intlek	114	-0.8760800331214852	7.859649122807017	2.061741964580435	TRUE	1Sg›2 (rajongalak)	228	l	ntl	nt	tl	linking vowel varies
leḏint	legyint	[/V][Prs.NDef.2Sg]	1.705684043387432	43518	nt	n	t	2	leḏintes	legyintesz	es	870	0.00653436816066066	s	leḏints	legyintsz	2	-2.6319548887939765	435	6.075346031088684	TRUE	2Sg (rajongasz)	438	s	nts	nt	ts	linking vowel varies
ragast	ragaszt	[/V][Prs.NDef.2Sg]	2.1034803212938553	108759	st	s	t	2	ragastas	ragasztasz	as	863	0.0030259112572518	NA	NA	NA	NA	NA	NA	NA	FALSE	2Sg (rajongasz)	438	NA	NA	st	NA	linking vowel always
šejt	sejt	[/V][Prs.NDef.2Sg]	2.9107709750098145	697840	jt	j	t	1	šejtes	sejtesz	es	862	0.00252238136675494	s	šejts	sejtsz	41	-1.3202010277382223	21.024390243902438	3.0456832039593853	TRUE	2Sg (rajongasz)	438	s	jts	jt	ts	linking vowel varies
küzd	küzd	[/V][Prs.NDef.2Pl]	2.8842471998392543	656496	zd	z	d	1	küzdötök	küzdötök	ötök	860	0.00151356678560985	tök	küzdtök	küzdtök	23	-1.571257048440365	37.391304347826086	3.6214381733184036	TRUE	2Pl (rajongotok)	268	t	zdt	zd	dt	linking vowel varies
bánt	bánt	[/V][Prs.1Sg›2]	2.302654646830123	172044	nt	n	t	1	bántalak	bántalak	alak	855	-0.00101876972978518	lak	bántlak	bántlak	178	-0.6825648821490639	4.803370786516854	1.569317918644675	TRUE	1Sg›2 (rajongalak)	228	l	ntl	nt	tl	linking vowel varies
bólint	bólint	[/V][Prs.NDef.3Pl]	1.825949705664744	57403	nt	n	t	2	bólintanak	bólintanak	anak	839	-0.00922292362925756	nak	bólintnak	bólintnak	2	-2.6319548887939765	419.5	6.0390635259072605	TRUE	3Pl (rajonganak)	440	n	ntn	nt	tn	linking vowel varies
tátong	tátong	[/V][Prs.NDef.3Pl]	1.285314241427215	16531	ng	n	g	2	tátonganak	tátonganak	anak	828	-0.0149545476730777	nak	tátongnak	tátongnak	324	-0.4224398742513457	2.5555555555555554	0.9382696385929302	TRUE	3Pl (rajonganak)	440	n	ngn	ng	gn	linking vowel varies
töpreng	töpreng	[/V][Prs.NDef.2Sg]	1.6971377584013545	42670	ng	n	g	2	töprenges	töprengesz	es	88	-0.9885022123077892	s	töprengs	töprengsz	827	-0.01547937490541114	0.10640870616686819	-2.2404678805454847	TRUE	2Sg (rajongasz)	438	s	ngs	ng	gs	linking vowel varies
old	old	[/V][Prs.NDef.2Sg]	2.8249058973828483	572652	ld	l	d	1	oldas	oldasz	as	825	-0.01653093590803274	s	olds	oldsz	8	-2.0298948974660145	103.125	4.6359418446548455	TRUE	2Sg (rajongasz)	438	s	lds	ld	ds	linking vowel varies
