word1	word2	segment1	segment2	dist	phon_dist	length
dűsöng	reng	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""-"", ""-"", ""r"", ""e"", ""n"", ""g""]"	[1.0, 1.0, 0.6428571428571428, 0.6470588235294117, 0.0, 0.0]	3.2899159663865545	6
dűsöng	vált	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""v"", ""á"", ""l"", ""-"", ""t"", ""-""]"	[0.9166666666666666, 0.8974358974358975, 0.6428571428571428, 1.0, 0.7647058823529411, 1.0]	5.221665589312648	6
dűsöng	čeng	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""č"", ""-"", ""-"", ""e"", ""n"", ""g""]"	[0.736842105263158, 1.0, 1.0, 0.6470588235294117, 0.0, 0.0]	3.3839009287925697	6
dűsöng	tolong	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""t"", ""o"", ""l"", ""o"", ""n"", ""g""]"	[0.5588235294117647, 0.8333333333333334, 0.6428571428571428, 0.6, 0.0, 0.0]	2.635014005602241	6
dűsöng	megért	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""m"", ""e"", ""g"", ""é"", ""r"", ""t""]"	[0.8571428571428572, 0.85, 0.9032258064516129, 0.7894736842105263, 0.7142857142857143, 0.8275862068965517]	4.941714268987263	6
dűsöng	áld	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""-"", ""á"", ""l"", ""-"", ""d"", ""-""]"	[1.0, 0.8974358974358975, 0.6428571428571428, 1.0, 0.5757575757575757, 1.0]	5.116050616050616	6
dűsöng	ságuld	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""s"", ""á"", ""g"", ""u"", ""l"", ""d""]"	[0.8048780487804879, 0.8974358974358975, 0.9032258064516129, 0.7297297297297297, 0.7142857142857143, 0.7]	4.749555196683443	6
dűsöng	sorong	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""s"", ""o"", ""r"", ""o"", ""n"", ""g""]"	[0.8048780487804879, 0.8333333333333334, 0.6428571428571428, 0.6, 0.0, 0.0]	2.881068524970964	6
dűsöng	ṉújt	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""ṉ"", ""ú"", ""j"", ""-"", ""t"", ""-""]"	[0.7297297297297297, 0.5757575757575757, 0.7241379310344828, 1.0, 0.7647058823529411, 1.0]	4.794331118874729	6
dűsöng	árt	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""-"", ""á"", ""r"", ""-"", ""t"", ""-""]"	[1.0, 0.8974358974358975, 0.6428571428571428, 1.0, 0.7647058823529411, 1.0]	5.304998922645981	6
dűsöng	bojong	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""b"", ""o"", ""j"", ""o"", ""n"", ""g""]"	[0.7428571428571429, 0.8333333333333334, 0.7241379310344828, 0.6, 0.0, 0.0]	2.900328407224959	6
dűsöng	zeng	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""-"", ""-"", ""z"", ""e"", ""n"", ""g""]"	[1.0, 1.0, 0.4838709677419355, 0.6470588235294117, 0.0, 0.0]	3.130929791271347	6
dűsöng	hajt	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""-"", ""-"", ""h"", ""a"", ""j"", ""t""]"	[1.0, 1.0, 0.7272727272727273, 0.8378378378378378, 0.7931034482758621, 0.8275862068965517]	5.185800220282979	6
dűsöng	pillant	"[""d"", ""ű"", ""-"", ""s"", ""ö"", ""n"", ""g""]"	"[""p"", ""i"", ""l"", ""l"", ""a"", ""n"", ""t""]"	[0.8611111111111112, 0.736842105263158, 1.0, 0.6428571428571428, 0.8378378378378378, 0.0, 0.8275862068965517]	4.906234403965802	7
dűsöng	felejt	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""f"", ""e"", ""l"", ""e"", ""j"", ""t""]"	[0.9230769230769231, 0.85, 0.6428571428571428, 0.6470588235294117, 0.7931034482758621, 0.8275862068965517]	4.683682544635891	6
dűsöng	jelent	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""j"", ""e"", ""l"", ""e"", ""n"", ""t""]"	[0.8947368421052632, 0.85, 0.6428571428571428, 0.6470588235294117, 0.0, 0.8275862068965517]	3.862239015388369	6
dűsöng	lézeng	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""l"", ""é"", ""z"", ""e"", ""n"", ""g""]"	[0.868421052631579, 0.7894736842105263, 0.4838709677419355, 0.6470588235294117, 0.0, 0.0]	2.7888245281134525	6
dűsöng	lappang	"[""d"", ""ű"", ""-"", ""s"", ""ö"", ""n"", ""g""]"	"[""l"", ""a"", ""p"", ""p"", ""a"", ""n"", ""g""]"	[0.868421052631579, 0.925, 1.0, 0.875, 0.8378378378378378, 0.0, 0.0]	4.506258890469417	7
dűsöng	önt	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""-"", ""-"", ""-"", ""ö"", ""n"", ""t""]"	[1.0, 1.0, 1.0, 0.0, 0.0, 0.8275862068965517]	3.8275862068965516	6
dűsöng	félreért	"[""d"", ""ű"", ""-"", ""s"", ""ö"", ""-"", ""n"", ""g""]"	"[""f"", ""é"", ""l"", ""r"", ""e"", ""é"", ""r"", ""t""]"	[0.9230769230769231, 0.7894736842105263, 1.0, 0.6428571428571428, 0.6470588235294117, 1.0, 0.7142857142857143, 0.8275862068965517]	6.54433849485627	8
dűsöng	kong	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""k"", ""-"", ""-"", ""o"", ""n"", ""g""]"	[0.84375, 1.0, 1.0, 0.6, 0.0, 0.0]	3.44375	6
dűsöng	töpreng	"[""d"", ""ű"", ""-"", ""s"", ""ö"", ""n"", ""g""]"	"[""t"", ""ö"", ""p"", ""r"", ""e"", ""n"", ""g""]"	[0.5588235294117647, 0.7, 1.0, 0.6428571428571428, 0.6470588235294117, 0.0, 0.0]	3.548739495798319	7
dűsöng	leng	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""-"", ""-"", ""l"", ""e"", ""n"", ""g""]"	[1.0, 1.0, 0.6428571428571428, 0.6470588235294117, 0.0, 0.0]	3.2899159663865545	6
dűsöng	ront	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""-"", ""-"", ""r"", ""o"", ""n"", ""t""]"	[1.0, 1.0, 0.6428571428571428, 0.6, 0.0, 0.8275862068965517]	4.0704433497536945	6
dűsöng	čüng	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""č"", ""-"", ""-"", ""ü"", ""n"", ""g""]"	[0.736842105263158, 1.0, 1.0, 0.47058823529411764, 0.0, 0.0]	3.2074303405572757	6
dűsöng	bánt	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""b"", ""-"", ""-"", ""á"", ""n"", ""t""]"	[0.7428571428571429, 1.0, 1.0, 0.8974358974358975, 0.0, 0.8275862068965517]	4.467879247189592	6
dűsöng	kiált	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""k"", ""i"", ""-"", ""á"", ""l"", ""t""]"	[0.84375, 0.736842105263158, 1.0, 0.8974358974358975, 0.7142857142857143, 0.8275862068965517]	5.019899923881321	6
dűsöng	terjeng	"[""d"", ""ű"", ""s"", ""-"", ""ö"", ""n"", ""g""]"	"[""t"", ""e"", ""r"", ""j"", ""e"", ""n"", ""g""]"	[0.5588235294117647, 0.85, 0.6428571428571428, 1.0, 0.6470588235294117, 0.0, 0.0]	3.698739495798319	7
dűsöng	ujjong	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""u"", ""j"", ""j"", ""o"", ""n"", ""g""]"	[0.9787234042553191, 0.8918918918918919, 0.7241379310344828, 0.6, 0.0, 0.0]	3.194753227181694	6
dűsöng	fetreng	"[""d"", ""ű"", ""-"", ""s"", ""ö"", ""n"", ""g""]"	"[""f"", ""e"", ""t"", ""r"", ""e"", ""n"", ""g""]"	[0.9230769230769231, 0.85, 1.0, 0.6428571428571428, 0.6470588235294117, 0.0, 0.0]	4.0629928894634775	7
dűsöng	int	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""-"", ""-"", ""-"", ""i"", ""n"", ""t""]"	[1.0, 1.0, 1.0, 0.6666666666666667, 0.0, 0.8275862068965517]	4.494252873563219	6
dűsöng	šejt	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""-"", ""-"", ""š"", ""e"", ""j"", ""t""]"	[1.0, 1.0, 0.4285714285714286, 0.6470588235294117, 0.7931034482758621, 0.8275862068965517]	4.696319907273255	6
dűsöng	tátong	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""t"", ""á"", ""t"", ""o"", ""n"", ""g""]"	[0.5588235294117647, 0.8974358974358975, 0.6666666666666667, 0.6, 0.0, 0.0]	2.7229260935143293	6
dűsöng	ḏújt	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""ḏ"", ""ú"", ""j"", ""-"", ""t"", ""-""]"	[0.48571428571428577, 0.5757575757575757, 0.7241379310344828, 1.0, 0.7647058823529411, 1.0]	4.550315674859285	6
dűsöng	ejt	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""-"", ""-"", ""-"", ""e"", ""j"", ""t""]"	[1.0, 1.0, 1.0, 0.6470588235294117, 0.7931034482758621, 0.8275862068965517]	5.267748478701826	6
dűsöng	ment	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""m"", ""-"", ""-"", ""e"", ""n"", ""t""]"	[0.8571428571428572, 1.0, 1.0, 0.6470588235294117, 0.0, 0.8275862068965517]	4.3317878875688205	6
dűsöng	őrjöng	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""ő"", ""r"", ""j"", ""ö"", ""n"", ""g""]"	[0.9607843137254902, 0.8947368421052632, 0.7241379310344828, 0.0, 0.0, 0.0]	2.5796590868652363	6
dűsöng	zajong	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""z"", ""a"", ""j"", ""o"", ""n"", ""g""]"	[0.631578947368421, 0.925, 0.7241379310344828, 0.6, 0.0, 0.0]	2.880716878402904	6
dűsöng	dühöng	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""d"", ""ü"", ""h"", ""ö"", ""n"", ""g""]"	[0.0, 0.5555555555555556, 0.7272727272727273, 0.0, 0.0, 0.0]	1.2828282828282829	6
dűsöng	dereng	"[""d"", ""ű"", ""s"", ""ö"", ""n"", ""g""]"	"[""d"", ""e"", ""r"", ""e"", ""n"", ""g""]"	[0.0, 0.85, 0.6428571428571428, 0.6470588235294117, 0.0, 0.0]	2.1399159663865546	6
